IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,228 ms,8803 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,229 ms,8796 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,256 ms,8795 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,235 ms,8791 kB/s
38.59.238.175,34237,true,LHR,Europe,London,201 ms,8770 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,248 ms,8756 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,230 ms,8706 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,240 ms,8696 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,216 ms,8638 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,231 ms,8514 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,232 ms,8504 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,226 ms,8498 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,230 ms,8485 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,228 ms,8453 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,245 ms,8391 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,234 ms,8381 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,227 ms,8347 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,227 ms,8298 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,221 ms,8286 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,249 ms,8266 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,233 ms,8233 kB/s
110.13.212.97,20880,true,ICN,Asia Pacific,Seoul,89 ms,8230 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,235 ms,8223 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,234 ms,8223 kB/s
193.123.235.59,443,true,HKG,Asia Pacific,Hong Kong,90 ms,8222 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,227 ms,8176 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,225 ms,8159 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,229 ms,8062 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,230 ms,8047 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,226 ms,8044 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,237 ms,8015 kB/s
